appid,pc_requirements,mac_requirements,linux_requirements,minimum,recommended
293600,"{'minimum': '<strong>最低配置:</strong><br><ul class=""bb_ul""><li><strong>操作系统:</strong> Windows XP SP2, Vista, 7, 8<br></li><li><strong>处理器:</strong> Dual-core 2.0 GHz or equivalent<br></li><li><strong>内存:</strong> 3 GB RAM<br></li><li><strong>图形:</strong> 512Mb<br></li><li><strong>DirectX 版本:</strong> 9.0c<br></li><li><strong>存储空间:</strong> 需要 200 MB 可用空间<br></li><li><strong>声卡:</strong> Any Windows compatible sound card<br></li><li><strong>附注事项:</strong> Controllers supported: Microsoft Xbox 360, Microsoft Xbox One, Sony PlayStation 4</li></ul>'}",[],[],"最低配置: 操作系统: Windows XP SP2, Vista, 7, 8 处理器: Dual-core 2.0 GHz or equivalent 内存: 3 GB RAM 图形: 512Mb DirectX 版本: 9.0c 存储空间: 需要 200 MB 可用空间 声卡: Any Windows compatible sound card 附注事项: Controllers supported: Microsoft Xbox 360, Microsoft Xbox One, Sony PlayStation 4",
294370,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows Vista / Windows 7 / Windows 8<br></li><li><strong>Processor:</strong> Core 2 Duo<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> Intel HD 4000/ATI Radeon HD 4650/Nvidia GeForce 2xx or higher<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Storage:</strong> 1 GB available space<br></li><li><strong>Sound Card:</strong> DirectX compatible</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Mac® OS 10.8<br></li><li><strong>Processor:</strong> Core 2 Duo<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> Intel HD 4000/ATI Radeon HD 4650/Nvidia GeForce 2xx or higher<br></li><li><strong>Storage:</strong> 1 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu 12+<br></li><li><strong>Processor:</strong> Core 2 Duo<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> Intel HD 4000/ATI Radeon HD 4650/Nvidia GeForce 2xx or higher<br></li><li><strong>Storage:</strong> 1 GB available space</li></ul>'}",OS: Windows Vista / Windows 7 / Windows 8 Processor: Core 2 Duo Memory: 2 GB RAM Graphics: Intel HD 4000/ATI Radeon HD 4650/Nvidia GeForce 2xx or higher DirectX: Version 9.0c Storage: 1 GB available space Sound Card: DirectX compatible,
294860,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows Vista/Windows 7<br></li><li><strong>Processor:</strong> Intel Core2 Duo @ 2.0GHz (or equivalent)<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTS 240 (or equivalent)<br></li><li><strong>Storage:</strong> 25 GB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7<br></li><li><strong>Processor:</strong> Intel Core2 Duo @ 2.8GHz (or equivalent)<br></li><li><strong>Memory:</strong> 3 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 280 (or equivalent)<br></li><li><strong>Storage:</strong> 25 GB available space</li></ul>'}",[],[],OS: Windows Vista/Windows 7 Processor: Intel Core2 Duo @ 2.0GHz (or equivalent) Memory: 2 GB RAM Graphics: NVIDIA GeForce GTS 240 (or equivalent) Storage: 25 GB available space,OS: Windows 7 Processor: Intel Core2 Duo @ 2.8GHz (or equivalent) Memory: 3 GB RAM Graphics: NVIDIA GeForce GTX 280 (or equivalent) Storage: 25 GB available space
296890,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7<br></li><li><strong>Processor:</strong> Intel or Amd 1.5 GHZ or above<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> Intel onboard graphics card or above<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Storage:</strong> 1 GB available space<br></li><li><strong>Sound Card:</strong> Sound Blaster</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7<br></li><li><strong>Processor:</strong> Intel or Amd 1.5 GHZ or above<br></li><li><strong>Memory:</strong> 5 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GTX800 series or above<br></li><li><strong>DirectX:</strong> Version 10<br></li><li><strong>Storage:</strong> 5 GB available space<br></li><li><strong>Sound Card:</strong> Sound Blaster</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> OS X<br></li><li><strong>Processor:</strong> Intel or Amd 1.0 ghz<br></li><li><strong>Memory:</strong> 1 MB RAM<br></li><li><strong>Graphics:</strong> Intel onboard graphics card or above<br></li><li><strong>Sound Card:</strong> Sound Blaster</li></ul>'}",[],OS: Windows 7 Processor: Intel or Amd 1.5 GHZ or above Memory: 2 GB RAM Graphics: Intel onboard graphics card or above DirectX: Version 9.0 Storage: 1 GB available space Sound Card: Sound Blaster,OS: Windows 7 Processor: Intel or Amd 1.5 GHZ or above Memory: 5 GB RAM Graphics: Nvidia GTX800 series or above DirectX: Version 10 Storage: 5 GB available space Sound Card: Sound Blaster
300040,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows XP or later<br></li><li><strong>Processor:</strong> Single-Core 2.4 GHz or faster<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> GeForce 7 Series or equivalent or later<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 4 GB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows XP or later<br></li><li><strong>Processor:</strong> Dual-Core 2.0 GHz or faster<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> GeForce 8 Series or equivalent or Later<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 4 GB available space</li></ul>'}",[],[],OS: Windows XP or later Processor: Single-Core 2.4 GHz or faster Memory: 1 GB RAM Graphics: GeForce 7 Series or equivalent or later DirectX: Version 9.0c Network: Broadband Internet connection Storage: 4 GB available space,OS: Windows XP or later Processor: Dual-Core 2.0 GHz or faster Memory: 2 GB RAM Graphics: GeForce 8 Series or equivalent or Later DirectX: Version 9.0c Network: Broadband Internet connection Storage: 4 GB available space
300300,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> XP<br></li><li><strong>Processor:</strong> Intel core or AMD<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> Integrated Graphics<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Storage:</strong> 100 MB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> XP<br></li><li><strong>Processor:</strong> Intel core or AMD<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> Integrated Graphics<br></li><li><strong>Storage:</strong> 200 MB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> 10.5<br></li><li><strong>Processor:</strong> Intel Core<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> Integrated Graphics<br></li><li><strong>Storage:</strong> 100 MB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> 10.7<br></li><li><strong>Processor:</strong> Intel Core 2<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> Integrated Graphics<br></li><li><strong>Storage:</strong> 200 MB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu<br></li><li><strong>Processor:</strong> Intel Core or AMD<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> Integrated Graphics<br></li><li><strong>Storage:</strong> 100 MB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu<br></li><li><strong>Processor:</strong> Intel Core or AMD<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Storage:</strong> 200 MB available space</li></ul>'}",OS: XP Processor: Intel core or AMD Memory: 512 MB RAM Graphics: Integrated Graphics DirectX: Version 9.0 Storage: 100 MB available space,OS: XP Processor: Intel core or AMD Memory: 512 MB RAM Graphics: Integrated Graphics Storage: 200 MB available space
301970,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Microsoft® Windows® XP or newer<br></li><li><strong>Processor:</strong> 1.4GHz or faster<br></li><li><strong>Memory:</strong> 3 GB RAM<br></li><li><strong>Graphics:</strong> Any from the last 4 years<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Storage:</strong> 2 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> OSX 10.6+<br></li><li><strong>Processor:</strong> 1.4GHz or faster<br></li><li><strong>Memory:</strong> 3 GB RAM<br></li><li><strong>Graphics:</strong> Any from the last 4 years<br></li><li><strong>Storage:</strong> 2 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu<br></li><li><strong>Processor:</strong> 1.4GHz or faster<br></li><li><strong>Memory:</strong> 3 GB RAM<br></li><li><strong>Graphics:</strong> Any from the last 4 years<br></li><li><strong>Storage:</strong> 2 GB available space</li></ul>'}",OS: Microsoft® Windows® XP or newer Processor: 1.4GHz or faster Memory: 3 GB RAM Graphics: Any from the last 4 years DirectX: Version 9.0c Storage: 2 GB available space,
302310,"{'minimum': '<strong>Mínimo:</strong><br><ul class=""bb_ul""><li><strong>SO:</strong> Windows XP<br></li><li><strong>Procesador:</strong> Intel Core Duo or equivalent<br></li><li><strong>Memoria:</strong> 4 GB de RAM<br></li><li><strong>Gráficos:</strong> onboard graphics<br></li><li><strong>Almacenamiento:</strong> 800 MB de espacio disponible</li></ul>', 'recommended': '<strong>Recomendado:</strong><br><ul class=""bb_ul""><li><strong>SO:</strong> Windows 7<br></li><li><strong>Procesador:</strong> Intel i3 or equivalent<br></li><li><strong>Memoria:</strong> 6 GB de RAM<br></li><li><strong>Gráficos:</strong> discrete video card<br></li><li><strong>Almacenamiento:</strong> 800 MB de espacio disponible</li></ul>'}","{'minimum': '<strong>Mínimo:</strong><br><ul class=""bb_ul""><li><strong>SO:</strong> OS X<br></li><li><strong>Procesador:</strong> Intel Core Duo or equivalent<br></li><li><strong>Memoria:</strong> 4 GB de RAM<br></li><li><strong>Gráficos:</strong> onboard graphics<br></li><li><strong>Almacenamiento:</strong> 800 MB de espacio disponible</li></ul>', 'recommended': '<strong>Recomendado:</strong><br><ul class=""bb_ul""><li><strong>SO:</strong> OS X<br></li><li><strong>Procesador:</strong> Intel i3 or equivalent<br></li><li><strong>Memoria:</strong> 6 GB de RAM<br></li><li><strong>Gráficos:</strong> discrete video card<br></li><li><strong>Almacenamiento:</strong> 800 MB de espacio disponible</li></ul>'}","{'minimum': '<strong>Mínimo:</strong><br><ul class=""bb_ul""><li><strong>SO:</strong> Any<br></li><li><strong>Procesador:</strong> Intel Core Duo or equivalent<br></li><li><strong>Memoria:</strong> 4 GB de RAM<br></li><li><strong>Gráficos:</strong> onboard graphics<br></li><li><strong>Almacenamiento:</strong> 800 MB de espacio disponible</li></ul>', 'recommended': '<strong>Recomendado:</strong><br><ul class=""bb_ul""><li><strong>SO:</strong> Any<br></li><li><strong>Procesador:</strong> Intel i3 or equivalent<br></li><li><strong>Memoria:</strong> 6 GB de RAM<br></li><li><strong>Gráficos:</strong> discrete video card<br></li><li><strong>Almacenamiento:</strong> 800 MB de espacio disponible</li></ul>'}",Mínimo: SO: Windows XP Procesador: Intel Core Duo or equivalent Memoria: 4 GB de RAM Gráficos: onboard graphics Almacenamiento: 800 MB de espacio disponible,Recomendado: SO: Windows 7 Procesador: Intel i3 or equivalent Memoria: 6 GB de RAM Gráficos: discrete video card Almacenamiento: 800 MB de espacio disponible
304050,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Vista 32-bit Service Pack 2<br></li><li><strong>Processor:</strong> Intel Core i5-2XXX @ 2.0GHz / AMD Phenom II X4 @ 2.6GHz<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> Intel HD Graphics 3000 or better<br></li><li><strong>DirectX:</strong> Version 10<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 1 GB available space<br></li><li><strong>Additional Notes:</strong> Graphics driver: OpenGL 3.2 or DirectX 10.0</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> 10.7.5 or later<br></li><li><strong>Processor:</strong> Intel Core i5<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> Intel HD 4000<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 1 GB available space<br></li><li><strong>Additional Notes:</strong> Two button mouse</li></ul>'}",[],OS: Vista 32-bit Service Pack 2 Processor: Intel Core i5-2XXX @ 2.0GHz / AMD Phenom II X4 @ 2.6GHz Memory: 1 GB RAM Graphics: Intel HD Graphics 3000 or better DirectX: Version 10 Network: Broadband Internet connection Storage: 1 GB available space Additional Notes: Graphics driver: OpenGL 3.2 or DirectX 10.0,
304410,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows XP or later<br></li><li><strong>Processor:</strong> 2.0Ghz+<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> Shader Model 2.0+<br></li><li><strong>Storage:</strong> 100 MB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> OSX 10.5 or later<br></li><li><strong>Processor:</strong> 2.0Ghz+<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> Shader Model 2.0+<br></li><li><strong>Storage:</strong> 100 MB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu 10.04 or later<br></li><li><strong>Processor:</strong> 2.0Ghz+<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> Shader Model 2.0+<br></li><li><strong>Storage:</strong> 100 MB available space</li></ul>'}",OS: Windows XP or later Processor: 2.0Ghz+ Memory: 2 GB RAM Graphics: Shader Model 2.0+ Storage: 100 MB available space,
307340,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows XP/Vista/7/8<br></li><li><strong>Processor:</strong> Pentium® or AMD® 1.3 GHz<br></li><li><strong>Memory:</strong> 128 MB RAM<br></li><li><strong>Graphics:</strong> 32MB 3D Video Card</li></ul>'}",[],[],OS: Windows XP/Vista/7/8 Processor: Pentium® or AMD® 1.3 GHz Memory: 128 MB RAM Graphics: 32MB 3D Video Card,
307930,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10/8/7<br></li><li><strong>Processor:</strong> Intel Pentium IV 2 GHz or compatible<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> DirectX 9c compatible, 64 MB RAM<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Storage:</strong> 3000 MB available space<br></li><li><strong>Additional Notes:</strong> ATTENTION: Does not work with any Wildlife Park 2 Retail Versions</li></ul>'}",[],[],"OS: Windows 10/8/7 Processor: Intel Pentium IV 2 GHz or compatible Memory: 512 MB RAM Graphics: DirectX 9c compatible, 64 MB RAM DirectX: Version 9.0c Storage: 3000 MB available space Additional Notes: ATTENTION: Does not work with any Wildlife Park 2 Retail Versions",
310070,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> XP<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Storage:</strong> 200 MB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> 7<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Storage:</strong> 300 MB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> 10.6<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Storage:</strong> 200 MB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Storage:</strong> 300 MB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu 12.04<br></li><li><strong>Processor:</strong> 2.0 GHz or better<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> Radeon x850 or comparable<br></li><li><strong>Storage:</strong> 200 MB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Storage:</strong> 300 MB available space</li></ul>'}",OS: XP Memory: 1 GB RAM Storage: 200 MB available space,OS: 7 Memory: 2 GB RAM Storage: 300 MB available space
310460,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Storage:</strong> 850 MB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7<br></li><li><strong>Memory:</strong> 4 GB RAM</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Mac OS 10.5<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Storage:</strong> 850 MB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Mac OS 10.10<br></li><li><strong>Memory:</strong> 4 GB RAM</li></ul>'}",[],OS: Windows 7 Memory: 1 GB RAM Storage: 850 MB available space,OS: Windows 7 Memory: 4 GB RAM
311140,"{'minimum': '<strong>Минимальные:</strong><br><ul class=""bb_ul""><li><strong>ОС:</strong> Windows 98/XP/7/8<br></li><li><strong>Процессор:</strong> 2.0 GHz processor<br></li><li><strong>Оперативная память:</strong> 512 MB ОЗУ<br></li><li><strong>Видеокарта:</strong> DirectX compatible 128 MB<br></li><li><strong>Место на диске:</strong> 4 GB</li></ul>', 'recommended': '<strong>Рекомендованные:</strong><br><ul class=""bb_ul""><li><strong>ОС:</strong> Windows 98/XP/7/8<br></li><li><strong>Процессор:</strong> Pentium 4/Athlon XP 3.2 MHz or more<br></li><li><strong>Оперативная память:</strong> 1024 MB ОЗУ<br></li><li><strong>Видеокарта:</strong> DirectX compatible 256 MB<br></li><li><strong>Место на диске:</strong> 4 GB</li></ul>'}",[],[],Минимальные: ОС: Windows 98/XP/7/8 Процессор: 2.0 GHz processor Оперативная память: 512 MB ОЗУ Видеокарта: DirectX compatible 128 MB Место на диске: 4 GB,Рекомендованные: ОС: Windows 98/XP/7/8 Процессор: Pentium 4/Athlon XP 3.2 MHz or more Оперативная память: 1024 MB ОЗУ Видеокарта: DirectX compatible 256 MB Место на диске: 4 GB
311310,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> 64 bit Windows 7 and above<br></li><li><strong>Processor:</strong> Intel Core i5-4570 3.2 GHz or AMD Phenom(tm) II X4 B60 3.3 GHz<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> GeForce GTX 460 1GB or AMD Radeon HD 6850 1GB (must support shader 5 model)<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 2 GB available space<br></li><li><strong>Additional Notes:</strong> 32bit OS versions is not supported</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> 64 bit Windows 7 and above<br></li><li><strong>Processor:</strong> Intel Core i7-3770 3.4 GHz or AMD FX-9370 4.4 GHz<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> GeForce GTX 660 2GB or AMD Radeon HD 7850 2GB (must support shader 5 model)<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 2 GB available space<br></li><li><strong>Additional Notes:</strong> 32bit OS versions is not supported</li></ul>'}",[],[],OS: 64 bit Windows 7 and above Processor: Intel Core i5-4570 3.2 GHz or AMD Phenom(tm) II X4 B60 3.3 GHz Memory: 4 GB RAM Graphics: GeForce GTX 460 1GB or AMD Radeon HD 6850 1GB (must support shader 5 model) DirectX: Version 11 Network: Broadband Internet connection Storage: 2 GB available space Additional Notes: 32bit OS versions is not supported,OS: 64 bit Windows 7 and above Processor: Intel Core i7-3770 3.4 GHz or AMD FX-9370 4.4 GHz Memory: 8 GB RAM Graphics: GeForce GTX 660 2GB or AMD Radeon HD 7850 2GB (must support shader 5 model) DirectX: Version 11 Network: Broadband Internet connection Storage: 2 GB available space Additional Notes: 32bit OS versions is not supported
311720,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows® XP SP 2+<br></li><li><strong>Processor:</strong> 1GHz or faster, SSE2 instruction set support.<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> Graphics card: DX9 (shader model 2.0) capabilities; generally everything made since 2004 should work.<br></li><li><strong>Storage:</strong> 350 MB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> OS X 10.8+<br></li><li><strong>Processor:</strong> 1GHz or faster, SSE2 instruction set support.<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> Graphics card: DX9 (shader model 2.0) capabilities; generally everything made since 2004 should work.<br></li><li><strong>Storage:</strong> 350 MB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu 12.04+<br></li><li><strong>Processor:</strong> 1GHz or faster, SSE2 instruction set support.<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> Graphics card: DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities.<br></li><li><strong>Storage:</strong> 350 MB available space</li></ul>'}","OS: Windows® XP SP 2+ Processor: 1GHz or faster, SSE2 instruction set support. Memory: 512 MB RAM Graphics: Graphics card: DX9 (shader model 2.0) capabilities; generally everything made since 2004 should work. Storage: 350 MB available space",
314120,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows XP or Better<br></li><li><strong>Processor:</strong> 1.2 gHz CPU<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> OpenGL + Compatible 3D Card<br></li><li><strong>Storage:</strong> 400 MB available space<br></li><li><strong>Sound Card:</strong> Windows Sound</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows XP or Better<br></li><li><strong>Processor:</strong> 1.2 gHz<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> OpenGL + Compatible 3D Card<br></li><li><strong>Storage:</strong> 400 MB available space<br></li><li><strong>Sound Card:</strong> Windows Sound</li></ul>'}",[],[],OS: Windows XP or Better Processor: 1.2 gHz CPU Memory: 512 MB RAM Graphics: OpenGL + Compatible 3D Card Storage: 400 MB available space Sound Card: Windows Sound,OS: Windows XP or Better Processor: 1.2 gHz Memory: 1 GB RAM Graphics: OpenGL + Compatible 3D Card Storage: 400 MB available space Sound Card: Windows Sound
314180,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7/8/8.1/10<br></li><li><strong>Processor:</strong> Intel Core i3 2GHz or higher<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> Intel HD Graphics 5000, Geforce 9500GT, Radeon HD 3650 or better<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> DirectSound-compatible sound card</li></ul>'}",[],[],"OS: Windows 7/8/8.1/10 Processor: Intel Core i3 2GHz or higher Memory: 2 GB RAM Graphics: Intel HD Graphics 5000, Geforce 9500GT, Radeon HD 3650 or better DirectX: Version 9.0c Storage: 3 GB available space Sound Card: DirectSound-compatible sound card",
