appid,website,support_url,support_email
65800,http://dungeondefenders.com/,https://chromatic.zendesk.com,https://chromatic.zendesk.com
105800,http://pixeljunk.jp,http://pixeljunk.jp/bbs/top.php,pixeljunk@q-games.com
108210,http://www.memoir44-online.com,,m44online@daysofwonder.com
113020,http://www.monacoismine.com,www.pocketwatchgames.com/chat,support@pocketwatchgames.com
205090,http://gaijingames.com/games/bittrip-flux,,support@gaijingames.com
205840,http://yesterday-game.com/,http://forum.runaway-thegame.com/,
214150,http://www.galciv1.com/,http://stardock.com/support/,support@stardock.com
214970,http://www.intrusion2.com/,http://intrusion2.com/forum/,support@intrusion2.com
215280,http://www.secretworldlegends.com,http://help.funcom.com/,
215710,http://subatomicstudios.com/games/fieldrunners-2/,http://subatomicstudios.com/contact/,bugs@subatomicstudios.com
216090,http://www.gohomedinosaurs.com/,http://www.gohomedinosaurs.com/,GHDsupport@firehosegames.com
217790,,www.cigames.com,support@cigames.com
218020,http://www.spiderwebsoftware.com/nethergateres/index.html,,support@spiderwebsoftware.com
218680,http://games.kidswb.com/official-site/scribblenauts/unlimited/,http://support.wbgames.com/,WBGames.IntSupport@warnerbros.com
219680,http://www.visitproteus.com,http://www.visitproteus.com/faq,ed@visitproteus.com
222180,,http://www.redflystudio.com,
224480,http://www.octodadgame.com,,feedback@octodadgame.com
224740,http://www.clockworkempires.com,http://portal.clockworkempires.com,support@gaslampgames.com
227940,https://www.heroesandgenerals.com/,https://heroesandgenerals.com/support/,
230150,http://www.incredipede.com,http://www.incredipede.com/faq.html,support@Incredipede.com
236730,http://www.anomaly2game.com/,http://forum.11bitstudios.com/,support@11bitstudios.com
238090,http://www.rebellion.co.uk/games/sniper-elite-3,,se3.support@rebellion.co.uk
246980,http://www.influxgame.com,http://www.influxgame.com,joewa@impromptugames.com
247240,http://www.volgarrtheviking.com,adultswim.com,games@adultswim.com
248310,http://freedomplanetgame.com/,http://www.galaxytrail.com/,strife@galaxytrail.com
248820,http://riskofraingame.com,,spacegame2012@gmail.com
252890,http://frogwares.com,http://frogwares.com/support/,support@frogwares.com
253390,http://hottinroofgame.com,http://glassbottomgames.com,hottinroof@glassbottomgames.com
254300,http://www.dofus.com,https://support.ankama.com,
254590,http://www.themeparkstudio.com/,http://www.themeparkstudio.com/,support@themeparkstudio.com
254960,,,support@quanticlab.com
257170,http://rebuildgame.com,http://forums.rebuildgame.com,support@rebuildgame.com
257850,http://heartmachine.com,http://heartmachine.com,support@heart-machine.com
260080,http://www.jackboxgames.com,https://jellyvisiongames.zendesk.com/home,support@jellyvisiongames.zendesk.com
260130,http://agarestzero.ghostlight.uk.com/pc,https://www.ghostlight.uk.com/,support@ghostlight.uk.com
261510,http://www.texmurphy.com/,,service@atlus.com
261640,http://borderlandsthegame.com/,support.2k.com,
261740,http://sumomgames.com/,http://sumomgames.com/,contact@sumomgames.com
262120,http://www.signalstudios.net/games/toy-soldiers-complete,https://steamcommunity.com/app/262120/discussions/,community@signalstudios.net
262850,http://www.thejourneydown.com,http://www.skygoblin.com,
262940,https://revolution.co.uk/games/the-serpents-curse/,http://www.revolution.co.uk,support@revolution.co.uk
263180,http://www.thedepartmentofsillystuff.com/,http://www.thedepartmentofsillystuff.com/support,support@dosillystuff.com
264730,http://www.deadly30.com,http://support.headupgames.com,support@headupgames.com
265610,http://kupogames.com/,,kupo707@hotmail.com
266150,http://lostsaga.z8games.com,http://support.z8games.com/lostsaga/,
269650,http://www.dex-rpg.com,http://www.dex-rpg.com,support@dreadlocks.cz
271570,http://spacefarmers.bumpkinbrothers.com,http://www.bumpkinbrothers.com,contact@bumpkinbrothers.com
273750,http://www.gameformulatruck.com/en/index.html,http://www.gameformulatruck.com/suporte.html,support@reizastudios.com
274940,http://www.depthgame.com,http://www.depthgame.com,support@digitalconfectioners.com
275310,http://www.totemgames.ru/,,support@strategyfirst.com
275490,http://crazymoogames.com/games/canyon-capers/,,contact@crazymoogames.com
276220,https://www.rokapublish.de/mailing-list,,support@rokapublish.de
276300,https://www.rokapublish.de/mailing-list,,support@rokapublish.de
276340,https://www.rokapublish.de/mailing-list,,support@rokapublish.de
277500,http://www.excalibur-publishing.com/games/farming-world/,http://www.mergegames.com/,luke@mergegames.com
279070,,http://facebook.com/valorware,valorwareuk@gmail.com
280680,https://www.krita.org,https://ask.krita.org,steamsupport@krita.org
280930,http://www.hitcents.com/games/battlepillars,,appsupport@hitcents.com
281580,,,support@strategyfirst.com
282400,,,support@quanticlab.com
282760,https://digitaltentacle.squarespace.com/,https://digitaltentacle.squarespace.com/contact/,contact@digitaltentacle.com
283310,http://www.funboxmedia.co.uk/,http://www.funboxmedia.co.uk/,
284100,http://unclaimedworld-game.com/,,support@unclaimedworld-game.com
284220,http://www.rockinandroid.com/games/gameinfo.php?id=diadra-empty,http://rockinandroid.com/,info@rockinandroid.com
284730,http://www.artifexmundi.com/page/carnival/,,steam.support@artifexmundi.com
284970,http://www.opqam.com/,http://www.opqam.com/contact.php,
287020,http://www.nightdivestudios.com/games/harvester/?utm_source=steampowered.com&amp;utm_medium=product&amp;utm_campaign=website%20-%20harvester,http://www.nightdivestudios.com/?utm_source=steampowered.com&amp;utm_medium=product&amp;utm_campaign=support%20-%20harvester,daniel@nightdivestudios.com
290040,http://retrogamecrunch.com,http://retrogamecrunch.com/contact/,
290470,https://crossplay.onigiri.cyberstep.com/,https://crossplay.onigiri.cyberstep.com/contact?device=steam,
291070,www.handsomegames.net/slip.html,,HandsomeGames.Contact@gmail.com
291190,http://www.tresebrothers.com/heroes-of-steel/,http://startradersrpg.proboards.com/board/28/bug-reports-hs,andrew@tresebrothers.com
291480,https://wf.my.com/,http://support.my.com/games/kb/WF,
292060,http://www.finalhoursoftitanfall.com,http://www.finalhoursoftitanfall.com,
292910,http://www.deponia.de,http://forum.daedalic.de/,support@daedalic.de
293600,http://www.arsonandplunder-game.com,,support@headupgames.com
294370,,http://kasedogames.com/en/,support@kasedogames.com
294860,,https://support.sega.co.uk,
296890,http://crescentmoongames.com/wordpress/neon-shadow,http://www.crescentmoongames.com/support,info@crescentmoongames.com
300040,https://subagames.com/DivineSouls/,https://subagames.com/SupportPage.aspx,
300300,http://www.stolencouchgames.com,www.stolencouchgames.com,sales@stolencouchgames.com
301970,http://screencheat.com,http://screencheat.com,support@fellowtraveller.games
302310,http://doe.frogdice.com,,support@frogdice.com
304050,http://www.trionworlds.com/trove/?affiliateId=251,https://support.trionworlds.com,
304410,,,matthew.brown.mail@gmail.com
307340,,http://www.idigicon.com/index.php?route=information/contact,
307930,http://www.b-alive.de/joomla/index.php?option=com_content&amp;task=view&amp;id=16&amp;Itemid=67,,steam.support@wildlife-park.com
310070,http://www.blazinggriffin.com,,support@blazinggriffin.com
310460,https://www.bulkypix.com/game/corto-maltese,http://www.bulkypix.com/support,helpdesk@bulkypix.com
311140,,http://www.buka.ru/cgi-bin/tech_support.pl?option=first_page,help@buka.ru
311310,http://www.navalaction.com,forum.game-labs.net,support@navalaction.com
311720,http://www.freeholdgames.com,http://www.freeholdgames.com,support@freeholgames.com
314120,http://RampantGames.com/FrayedKnights,http://rampantgames.com,feedback@rampantgames.com
314180,,,games@degica.com
314220,,,support@sanukgames.com
314320,http://www.gamersgomakers.com,www.gamersgomakers.com,info@gamersgomakers.com
315060,,,2strokedesign@gmail.com
315670,,http://h2games.co.kr/eng/,support@h2interactive.co.kr
315930,http://interbellum.ru/bravada/index_eng.html,http://interbellum.ru/contacts_eng.html,info@interbellum.ru
316600,http://fruitbatfactory.com/qpshootingdangerous/,http://forum.fruitbatfactory.com/index.php,support@fruitbatfactory.com
317290,http://www.winterwolves.com/bionicheart2.htm,http://www.winterwolves.com/info.php,info@winterwolves.com
318650,http://www.sunage-the-game.com,http://forum.vertex4.com,
319280,http://yatagarasu-FTG.com,http://nyu-media.com,info@nyu-media.com
320110,http://www.trainzportal.com/product/view/train-town,http://support.trainzportal.com,
320330,http://all-those-moments.com/earthworms/,www.playway.com,help@playway.com
321150,http://www.melissak-game.com/,http://www.sdpgames.com/support.html,
321660,http://www.industry-games.com,support@industry-games.com,
321830,http://www.cavernkings.com/,,support@cavernkings.com
324170,,,support@winged-cloud.com
324800,http://www.shadowwarrior.com,www.flyingwildhog.com,shadowwarrior2-support@flyingwildhog.com
325790,http://www.fallena2p.com,,support@redkatana.com
326380,,http://www.astragon.de/support.html,support@astragon.de
326650,,http://www.2tainment.com,support@2tainment.com
328740,http://www.Gamesare.com,http://www.Gamesare.com,support@gamesare.com
330520,www.taildrift.com,http://rightpedalstudios.com/support/,
330680,http://www.solarstruggle.com,,contact@z-software.net
330880,,https://www.facebook.com/redemptiononline4steam,steam@movegames.co.kr
333210,http://kaiju-a-gogo.com/,http://www.kerberos-productions.com/forums/viewforum.php?f=82,contact@kerberos-productions.com
333220,http://www.cherrytreehigh.com,http://nyu-media.com,info@nyu-media.com
333650,http://ironcode.com/game-pahelika-revelations.html,http://ironcode.com/contact.html,help@ironcode.com
334100,http://extremeexorcism.com,,support@ripstone.com
336080,http://slitherine.com/games/V65_PC,www.slitherine.com,support@slitherine.co.uk
336090,http://www.polarityflow.com,http://www.polarityflow.com,support@polarityflow.com
336940,http://www.puppygames.net/basingstoke,http://www.puppygames.net/contact/?subject=basingstoke,support@puppygames.net
337130,,,support@trisynergy.com
337940,http://www.zeiva.net/otome/index.html,http://www.zeiva.net,zeiva@hotmail.com
339910,http://www.teamshuriken.com,http://www.teamshuriken.com,louis@teamshuriken.com
340310,,,support@forever-entertainment.com
340370,,trisynergy.com,support@trisynergy.com
340520,https://www.tallowmere.com/,https://www.tallowmere.com/contact/,chris@tallowmere.com
340960,http://pulsengame.com,http://pulsengame.com/contact,
341010,http://pluck.blapid.com,,benlap@umich.edu
341660,http://www.forcequitapplications.com,http://www.forcequitapplications.com,support@forcequitapplications.com
342020,http://www.bitevolutiongame.com,http://www.bitevolutiongame.com,
342380,,,support@winged-cloud.com
343690,,,dimakivagame@gmail.com
344760,http://www.reignofkings.net,http://steamcommunity.com/app/344760/discussions/,support@codehatch.com
347670,http://www.criansoft.com/karate-master-2-knock-down-blow-.html,http://www.criansoft.com,criansoft@gmail.com
348620,http://www.zeiva.net/game/voices.html,http://www.zeiva.net,zeiva@hotmail.com
349140,http://www.coldwinterwaiting.com,,viperante@gmail.com
349320,https://www.facebook.com/RainyKeelung?fref=ts,https://www.facebook.com/RainyKeelung?fref=ts,
350550,http://www.zeiva.net/otome/index.html,http://www.zeiva.net,zeiva@hotmail.com
351920,http://www.crazy-machines.com,http://www.daedalicsupport.com/,
352210,http://littlecells.fullybugged.com/,littlecells.fullybugged.com,mail@fullybugged.com
352620,http://biggreenpillow.com/,www.curve-digital.com,support@curve-digital.com
352810,,,support@playism.jp
353070,http://www.playanarchygames.com,http://www.playanarchygames.com,support@anarchyent.com
353550,,,ian@ip-builders.com
354290,,,lovebeat_cs@crazydiamond.co.kr
354720,,,support@strategyfirst.com
355020,,www.immanitas.com,info@immanitas.com
355310,http://bloodalloy.com/,,support@suppressivefiregames.com
355520,,https://twitter.com/CherryCoStudios,
355650,,,support@microids.com
356250,http://gathering-sky.com,http://astrangergravity.com,contact@astrangergravity.com
356510,http://stamina-games.com,http://stamina-games.com,contact@stamina-games.com
356710,http://www.bandofdrones.com,http://www.kiritsugames.com,kiritsugames@gmail.com
357030,http://excubitorgame.com/,http://www.kasedogames.com/#!customer-support/b3z24,support@kalypsomedia.com
358190,https://3drealms.com/catalog/blake-stone_15/,,hello@3drealms.com
358410,https://3drealms.com/catalog/rise-triad-dark-war_44/,,hello@3drealms.com
360650,http://jetdogs.com,http://jetdogs.com,support@jetdogs.com
361100,http://www.stun-games.com,,info@stun-games.com
361110,http://servadacsgamedev.blogspot.com,http://servadacsgamedev.blogspot.com,daniel.jonsson1@comhem.se
362400,http://www.regimentalchess.com/,http://www.regimentalchess.com/contact-us-2/,support@clockworkelements.com
365210,https://www.choiceofgames.com/,https://www.choiceofgames.com/contact-us/,support-hollywood-steam@choiceofgames.com
365810,http://acemaddox.com,http://acemaddox.com,support@acemaddox.com
366990,,http://www.yeaboing.com/,
367040,,https://support.steampowered.com/,Insanz@fahr-zur-hoelle.org
367060,,,onionman77@gmail.com
369000,http://www.drixystudios.com/pongo.html,http://www.drixystudios.com/,support@drixystudios.com
370300,http://www.criticalgames.com.au/8-bit-adventures-remastered.html,http://www.criticalgames.com.au/contact-us.html,criticalgames@tpg.com.au
370560,,www.shinypix.com/contact,customersupport@shinypix.com
370670,http://aldorlea.org/thetaleofacommonman.php,http://www.aldorlea.org/,aldorlea@googlemail.com
372750,,https://www.facebook.com/GirlAmazonSurvival/,
372780,http://www.pixelpigames.com/,http://www.pixelpigames.com/,support@pixelpigames.com
372890,http://www.libredia.com/component/k2/item/107-red-crow-mysteries-legion,,support@libredia.com
374120,http://mintarcade.com,,info@mintarcade.com
375170,http://www.gunpowdergame.com/,http://www.roguerocketgames.com,support@gunpowdergame.com
375760,https://www.facebook.com/pages/Volstead/1585411581704498,https://www.facebook.com/pages/Volstead/1585411581704498,carlosvogi@gmail.com
377690,http://www.razzartvisual.com/starlightvega/,http://www.razzartvisual.com,
379720,http://www.doom.com,http://help.bethesda.net/,
379870,http://alteilhorizons.com,http://news.apocoplay.com/troubleshooting-faq/,logress@apocoplay.com
381210,http://www.deadbydaylight.com,https://support.deadbydaylight.com,
381890,http://www.inductiongame.com,,support@inductiongame.com
382070,,,neoncubegame@gmail.com
382380,http://thebiggestmissileever.tumblr.com/,,amberthrone@gmail.com
383560,http://squarelands.net/forums,,oryonentertainment@gmail.com
383690,http://www.mucomplex.com/,,contact@studiocime.com
383750,,http://www.mergegames.com/,support@acrowdofmonsters.com
384590,https://www.polychromaticgame.com,,contact@brushfiregames.com
385390,http://game-mill.com,http://game-mill.com,support@game-mill.com
385960,https://www.hexwar.com/downloads/russian-front/,,support@hexwar.com
386750,,,info@cashtronauts.com
386990,,,ebihimes@gmail.com
388120,,,support@dagestantechnology.com
388340,,,daydreamergamesofficial@gmail.com
388680,http://unfinished.fromdustscratch.com/,,support@fromdustscratch.com
389430,http://www.nttgameonline.com/knight/,http://support.nttgameonline.com/,
390200,,,steam.support@artifexmundi.com
390680,https://www.spacejacked.com/,https://github.com/RottenMage/spacejacked-bugs,spacejacked.support@rottenmage.com
390930,http://www.aipd-game.com,,support@morphicon.com
390940,,http://www.buka.ru/cgi-bin/tech_support.pl?option=first_page,help@buka.ru
391720,http://layersoffear.com,https://support.aspyr.com/hc/en-us/requests/new,
392890,,,pomoc@playshop.pl
393190,http://www.tsioque.com/,http://www.OhNoo.com,contact@OhNoo.com
393920,http://diggidy.net/,http://diggidy.net/contact/,contact@diggidy.net
394140,,,matthew.brown.mail@gmail.com
394550,http://www.gunmanclive.com/2,,beril@beril.se
395520,http://www.alpixelgames.com,,ludipe@alpixelgames.com
395580,http://www.filimundus.com,http://www.filimundus.com/support,support@filimundus.se
395600,https://www.facebook.com/windforcegame,http://steamcommunity.com/app/395600/discussions/,
397040,http://www.sphere3-online.com/,http://help.gamexp.ru/#66,
397210,http://targhen.com/,,targhen@gmail.com
397320,http://www.excalibur-publishing.com,http://www.excalibur-publishing.com,support@excalibur-publishing.com
397360,http://games.kosek.com/game/magician.html,http://games.kosek.com/support.html,support@kosek.com
397660,http://behindyou-game.com/,http://behindyou-game.com/,oxprimestudio@gmail.com
397840,,http://playway.com/index.php?option=com_content&amp;view=article&amp;id=129&amp;Itemid=64,help@playway.com
398020,http://www.colonyassault.com/,http://www.colonyassault.com/contact.html,
398480,http://louiecooks.com/,http://louiecooks.com/,louiecooksgame@gmail.com
398830,http://bit2good.com/goggles,http://bit2good.com,support@bit2good.com
399790,,,ian@ip-builders.com
401840,http://cowboycolor.com,,support@cowboycolor.com
402150,,,team.zenisport@gmail.com
402160,http://www.starcommandgalaxies.com/,http://forum.starcommandgame.com/,starcommandhelp@gmail.com
402430,http://www.ootpdevelopments.com/out-of-the-park-baseball/,http://www.ootpdevelopments.com/out-of-the-park-baseball/support.php,support@ootpdevelopments.com
402890,,,catinjar42@gmail.com
404860,http://www.insidemethegame.com/,http://www.insidemethegame.com/index.php/contacts,Anfedart@gmail.com
406280,https://www.facebook.com/futurevisionsgames,,futurevisionsgames@gmail.com
406940,http://www.dubdashgame.com,http://www.headupgames.com/,support@headupgames.com
408250,http://eagleflight.ubisoft.com/,https://support.ubi.com/,
409660,https://www.games.roosterteeth.com/,http://screenwavemedia.com/contact/,websites@screenwavemedia.com
410770,,http://qumaron.com/support-service-en,qumaron.supp@gmail.com
411530,,http://qumaron.com/support-service-en,qumaron.supp@gmail.com
413710,http://snowbirdgames.com/blog/,,support@snowbirdgames.com
414720,http://www.indiedb.com/games/astrox-hostile-space-excavation,,Jace@JaceMasula.com
414740,http://www.raidworldwar2.com/,,info@liongamelion.com
415660,http://tk.99.com,http://tk.99.com,hbq@99.com
416140,http://www.vault-interactive.com/,http://www.vault-interactive.com/,info@vault-interactive.com
416840,http://polykromagames.com/#/ColorBy,http://polykromagames.com/#/ColorBy,info@polykromagames.com
419130,http://www.swordultimate.com/,,ivent.storeproblem@gmail.com
421670,http://cupidvn.tumblr.com/,http://ferventstudio.tumblr.com/,
421740,http://playgoetia.com/,http://sqex.to/support,
423890,http://www.godsandidols.com/,http://www.godsandidols.com/support/,Support@GodsAndIdols.com
424250,http://balconyteam.com,http://balconyteam.com,balcony.softworks@gmail.com
424310,http://wolfraystudios.com/,http://wolfraystudios.com/,wolfraystudios@gmail.com
425670,http://www.seraph-game.com,,support@dreadbit.com
427730,,,support@eviltortillagames.com
428180,http://morenori.com,http://morenori.com/,contact@morenori.com
428660,http://www.deliverusthemoon.com,www.deliverusthemoon.com,support@keoken.nl
428950,http://www.backtobasicsgaming.com/,http://www.backtobasicsgaming.com/,Dan@BackToBasicsGaming.com
429360,http://www.lupinball.com,http://www.craftven.com,
429480,http://www.snowbit.at,http://www.snowbit.at/support,support@snowbit.at
429600,http://www.artifexmundi.com/page/fairytale1/,,steam.support@artifexmundi.com
431290,http://movingplayer.com/en/level-22,http://movingplayer.com/en/level-22,contact@movingplayer.com
431300,http://www.fun4family.com,http://www.fun4family.com,support@fun4family.com
432470,,,1bestgs@gmail.com
433360,http://www.drawngame.com/games/dark-flight,https://bigfishgames.custhelp.com/app/ask,info@bigfishgames.com
433750,https://twitter.com/RogerMichaelPat,,mprart@gmail.com
434150,http://nighthoodgames.com/,http://nighthoodgames.com/,support@nighthoodgames.com
434890,,,redsplatgames@gmail.com
435120,http://www.rustylake.com,http://www.rustylake.com/,http://www.rustylake.com/contact/
436500,http://tinybuild.com/diariesofaspaceportjanitor,tinybuild.com,contact@tinybuild.com
439190,http://www.storiesthepathofdestinies.com,www.spearheadgames.ca,info@spearheadgames.ca
440770,http://drawnstory.com/,http://drawnstory.com/,vrecobra@gmail.com
442140,http://handsomedragongames.com,http://handsomedragongames.com,support@handsomedragongames.com
443980,http://www.facebook.com/SilverCowStudio,http://www.twitter.com/SilverCowStudio,
444180,,,argusgames@list.ru
444480,,www.newrealitygames.co.uk,
444930,,,contact.magicpixel2012@gmail.com
447000,http://grimsfield.com,,support@adamwells.co.uk
448820,,,sb_3d-graph@mail.ru
448850,http://playoverload.com/,http://playoverload.com/contact/,
450670,http://www.ttr-worldtour.com,www.playrisedigital.com,admin@playrise.co.uk
451100,http://www.cubikolor.com/,http://fractalbox.fr/contact.php,
451140,http://www.bigfishgames.com/games/6555/drawn-dark-flight-collectors-edition/?pc,https://bigfishgames.custhelp.com/app/home,info@bigfishgames.com
451780,http://ideafintl.com/trillion/,http://ideafintl.com/contact.php,pcsupport@ideafintl.com
452570,http://www.battlechefbrigade.com/,games.adultswim.com,
453220,http://www.bramblelash.com/,,support@bytespritegames.com
453650,http://www.leveledgames.net/,http://www.leveledgames.net/,
453910,http://www.loveisdeadgame.com,http://www.loveisdeadgame.com,nick@curiobot.com
454160,http://www.arifgames.com/launch/darkfear,http://www.arifgames.com/launch/darkfear,info@arifgames.com
454540,,,support@luckcatchers.ru
455970,,,heartomics@gmail.com
456810,,,support@forever-entertainment.com
457140,https://www.kleientertainment.com/games/oxygen-not-included,,livesupport@kleientertainment.com
457530,,,michaela.a.laws@gmail.com
457770,http://skydomestudios.com/audio-arena/,http://skydomestudios.nl/contact/,
459630,http://www.bluebudgiestudios.com,http://www.bluebudgiestudios.com,
460580,http://www.starchart.info,sites.google.com/site/starchartuserguide/,sc@escapistgames.com
460920,http://steepgame.com/,https://support.ubi.com/,
461280,,,silbermanryan@gmail.com
463250,http://www.onetowergame.com/,http://www.onetowergame.com,onetower-support@skyreacher.com
463980,http://www.solitairica.com,http://www.solitairica.com/,support@righteoushammer.com
464780,http://chushingura46.com/,http://nextninja.net/,
465720,http://www.artifexmundi.com/,,steam.support@artifexmundi.com
466350,http://www.fossilecho.com,http://www.awaceb.com,contact@awaceb.com
466430,https://www.choiceofgames.com/,https://www.choiceofgames.com/contact-us/,support-alexandria-steam@choiceofgames.com
466500,,http://vk.com/ferumss,noskovfe@mail.ru
466860,http://www.pgcog.com,http://www.pgcog.com,chief@pgcog.com
468490,http://www.just1337.com/,http://www.just1337.com/,just1337developer@gmail.com
474210,https://butcher.thd.vg,,support@thd.vg
474890,,,uncrewedfeedback@gmail.com
476430,http://games.computerlunch.com/swing-star/,http://games.computerlunch.com/,andrew@computerlunch.com
477740,,,support-tng@spike-chunsoft.co.jp
479150,https://www.facebook.com/boxcontainment/,,memorazerproduction@web.de
485580,,,wot-job@yandex.ru
486360,,,timorethegame@gmail.com
487030,http://beastsbattle.com,,joxsea@mail.ru
488950,http://www.werewolveswithin.com/,https://support.ubi.com/,
489050,http://www.psroutdoors.com/PSR_games_whitetail_challenge.aspx,http://www.psroutdoors.com/media/Whitetail_Challenge_instruc.doc,support@psroutdoors.com
491070,http://www.shoutofsurvival.com/,http://shoutofsurvival.com/en/contact-us/,support@hakogames.com
491220,http://www.cottongame.com/,http://www.cottongame.com/,
492160,,,support@rokapublish.de
493310,http://retroism.com/,http://retroism.com/contact/,support@retroism.com
493480,http://www.erisle.com/,,expectgame@gmail.com
494100,,http://fruitbatfactory.com,support@fruitbatfactory.com
494170,http://fruitbatfactory.com/miniature,http://fruitbatfactory.com,support@fruitbatfactory.com
494960,http://www.phaserlock.com/,,info@Phaserlock.com
495110,https://www.artifexmundi.com/page/news/,,steam.support@artifexmundi.com
495320,http://www.crovaxstudios.com,http://www.crovaxstudios.com,crovaxstudios@gmail.com
495630,,,capeofgamellc@gmail.com
495990,https://sp-time.com/,https://sp-time.com/,sp_time@sina.com
496380,http://www.spiltmilkstudios.com,http://www.spiltmilkstudios.com,
496690,,http://SometimesYou.com/,3.14nkerator@gmail.com
497080,,www.immanitas.com,
497490,http://allusio.com/projecthovercraft,http://allusio.com/contact/,contact@allusio.com.au
498330,https://catsareliquid.lastquarterstudios.com,https://lastquarterstudios.com,support@lastquarterstudios.com
498380,http://drinkingnails.com/aquanimble/,,drinkingnails@gmail.com
499210,http://www.maximumgames.com,http://www.maximumgames.com/support,support@maximumgames.com
499400,,,support@realityrig.com
499910,http://gosatsu.com/,,gospel@gosatsu.com
500120,http://demonvideogames.blogspot.com.es/p/gazzelquest.html,https://demonvideogames.blogspot.com.es/,demonvideogames@gmail.com
500710,http://www.playwildterra.com,,support@playwildterra.com
500760,http://www.geocities.jp/syuuyuusya/,http://www.geocities.jp/syuuyuusya/,
501430,,,solarsailsgames@hotmail.com
502120,http://www.zeiva.net/anicon/index.html,http://www.zeiva.net,zeiva@hotmail.com
502150,http://www.exaltedguy.com,http://www.exaltedguy.com,dev@exaltedguy.com
502700,http://www.laserlassoball.com/,http://www.ragtagradical.com/,ragtagradical@gmail.com
503560,http://www.jutsugames.com/911,,help@jutsugames.com
503580,,,info@stresslevelzero.com
503700,http://www.ProjectFreja.com,http://www.ProjectFreja.com,
504090,http://www.321Grenades.com,,support@banyango.com
504210,http://www.zachtronics.com/shenzhen-io/,http://www.zachtronics.com/support/,support@zachtronics.com
504610,http://www.destined.com,http://www.destined.com,contact@destined.com
508440,http://landfall.se,,support@landfall.se
508890,,,thematic.psn@gmail.com
509070,http://www.supervrtrainer.com,http://www.supervrtrainer.com,support@supervrtrainer.com
509250,http://www.ToTheTopVR.com,,electrichatgames@gmail.com
510750,https://www.facebook.com/DriftwoodVN/,https://www.facebook.com/DriftwoodVN/,Wakagana16@gmail.com
510990,,,crystal@vryizhan.com
511320,http://www.woodsy-studio.com/echoes,http://www.woodsy-studio.com/contact/,
512120,,http://www.nakitigenerations.com,
513260,http://www.hooliganslab.com/en/green_moon_2/,,support@hooliganslab.com
513310,http://aviatorsgame.com,http://aviatorsgame.com,developers@aviatorsgame.com
514770,http://www.bigfishgames.com/games/8040/grave-mania-pandemic-pandemonium/?pc,https://bigfishgames.custhelp.com/app/home,info@bigfishgames.com
514900,http://observer-game.com/,https://support.aspyr.com/hc/en-us/requests/new,
516010,http://www.ludusstudio.com/board-defenders/,http://www.ludusstudio.com/contact_us/,support@ludusstudio.com
517910,http://www.myshkin.net/sisyphus-reborn,,edwin.montgomery@gmail.com
517930,,,castlesofdrcreep@gmail.com
519990,http://intropygames.com,http://intropygames.com/support,contact@intropygames.com
521140,,,support@fastram.co.uk
521930,,http://www.dagestantechnology.ru/,dagestan.technology@gmail.com
523080,http://playground.pixelpizza.de,http://pixelpizza.de,der_kevin@me.com
523660,http://www.hypercharge.digitalcybercherries.com/,,Joe@digitalcybercherries.com
526490,https://07th-expansion.net/,http://www.mangagamer.com/,support@mangagamer.com
527320,http://kiltedcamel.com/defend-the-highlands-world-tour/,http://kiltedcamel.com/,kiltedcamel@gmail.com
527700,,,containmentinitiative@gmail.com
527940,http://www.bigfishgames.com/games/6011/mystery-trackers-the-void-collectors-edition/?pc,https://bigfishgames.custhelp.com/app/home,info@bigfishgames.com
